Trichoderma_reesei_tef1	EHK42777.1	95.701	442	19	0	1	442	1	442	0.0	882
Trichoderma_reesei_tef1	EHK44087.1	38.063	444	245	9	6	437	286	711	4.78e-94	298
Trichoderma_reesei_tef1	EHK48198.1	35.535	439	249	9	6	438	295	705	1.42e-79	259
Trichoderma_reesei_PKI1	EHK40073.1	93.258	534	36	0	5	538	12	545	0.0	1045
Trichoderma_cf_simile_PKS1	EHK46843.1	74.422	2162	531	7	8	2163	1	2146	0.0	3317
Trichoderma_cf_simile_PKS1	EHK46042.1	37.914	1783	1014	40	46	1754	50	1813	0.0	1115
Trichoderma_cf_simile_PKS1	EHK49847.1	33.333	1764	1096	37	24	1755	7	1722	0.0	925
Trichoderma_cf_simile_PKS1	EHK42299.1	28.986	1380	866	38	403	1739	383	1691	1.69e-148	510
Trichoderma_cf_simile_PKS1	EHK44445.1	25.989	1593	1029	51	399	1925	383	1891	1.53e-126	445
Trichoderma_Trichaggressivum_PKS1	EHK49845.1	32.895	912	539	20	631	1501	17	896	6.48e-130	457
Trichoderma_Trichaggressivum_PKS1	EHK42694.1	31.959	970	565	27	626	1559	5	915	1.84e-124	438
Trichoderma_Trichaggressivum_PKS1	EHK49839.1	33.333	861	530	15	635	1464	9	856	2.45e-123	436
Trichoderma_Trichaggressivum_PKS1	EHK49839.1	29.187	603	359	17	51	608	2849	3428	6.27e-56	215
Trichoderma_Trichaggressivum_PKS1	EHK50965.1	32.262	933	581	20	637	1538	10	922	6.36e-121	427
Trichoderma_Trichaggressivum_PKS1	EHK50762.1	30.322	963	575	19	630	1523	19	954	3.92e-120	425
Trichoderma_atroviride_tef1	EHK42777.1	100.000	310	0	0	1	310	46	355	0.0	639
Trichoderma_atroviride_tef1	EHK48198.1	39.934	303	164	5	4	303	338	625	9.38e-68	223
Trichoderma_atroviride_tef1	EHK44087.1	36.893	309	172	8	1	302	326	618	4.34e-55	189
Trichoderma_atroviride_gpd1	EHK49005.1	98.817	338	4	0	1	338	1	338	0.0	680
